date,is_weekend,is_holiday,working_hours,holiday_name
3/22/2017,FALSE,FALSE,8,
3/23/2017,FALSE,FALSE,8,
3/24/2017,FALSE,FALSE,8,
3/25/2017,TRUE,FALSE,0,
3/26/2017,TRUE,FALSE,0,
3/27/2017,FALSE,FALSE,8,
3/28/2017,FALSE,FALSE,8,
3/29/2017,FALSE,FALSE,8,
3/30/2017,FALSE,FALSE,8,
3/31/2017,FALSE,FALSE,8,
4/1/2017,TRUE,FALSE,0,
4/2/2017,TRUE,FALSE,0,
4/3/2017,FALSE,FALSE,8,
4/4/2017,FALSE,FALSE,8,
4/5/2017,FALSE,FALSE,8,
4/6/2017,FALSE,FALSE,8,
4/7/2017,FALSE,FALSE,8,
4/8/2017,TRUE,FALSE,0,
4/9/2017,TRUE,FALSE,0,
4/10/2017,FALSE,FALSE,8,
4/11/2017,FALSE,FALSE,8,
4/12/2017,FALSE,FALSE,8,
4/13/2017,FALSE,FALSE,8,
4/14/2017,FALSE,FALSE,8,
4/15/2017,TRUE,FALSE,0,
4/16/2017,TRUE,FALSE,0,
4/17/2017,FALSE,FALSE,8,
4/18/2017,FALSE,FALSE,8,
4/19/2017,FALSE,FALSE,8,
4/20/2017,FALSE,FALSE,8,
4/21/2017,FALSE,FALSE,8,
4/22/2017,TRUE,FALSE,0,
4/23/2017,TRUE,FALSE,0,
4/24/2017,FALSE,FALSE,8,
4/25/2017,FALSE,FALSE,8,
4/26/2017,FALSE,FALSE,8,
4/27/2017,FALSE,FALSE,8,
4/28/2017,FALSE,FALSE,8,
4/29/2017,TRUE,FALSE,0,
4/30/2017,TRUE,FALSE,0,
5/1/2017,FALSE,FALSE,8,
5/2/2017,FALSE,FALSE,8,
5/3/2017,FALSE,FALSE,8,
5/4/2017,FALSE,FALSE,8,
5/5/2017,FALSE,FALSE,8,
5/6/2017,TRUE,FALSE,0,
5/7/2017,TRUE,FALSE,0,
5/8/2017,FALSE,FALSE,8,
5/9/2017,FALSE,FALSE,8,
5/10/2017,FALSE,FALSE,8,
5/11/2017,FALSE,FALSE,8,
5/12/2017,FALSE,FALSE,8,
5/13/2017,TRUE,FALSE,0,
5/14/2017,TRUE,FALSE,0,
5/15/2017,FALSE,FALSE,8,
5/16/2017,FALSE,FALSE,8,
5/17/2017,FALSE,FALSE,8,
5/18/2017,FALSE,FALSE,8,
5/19/2017,FALSE,FALSE,8,
5/20/2017,TRUE,FALSE,0,
5/21/2017,TRUE,FALSE,0,
5/22/2017,FALSE,FALSE,8,
5/23/2017,FALSE,FALSE,8,
5/24/2017,FALSE,FALSE,8,
5/25/2017,FALSE,FALSE,8,
5/26/2017,FALSE,FALSE,8,
5/27/2017,TRUE,FALSE,0,
5/28/2017,TRUE,FALSE,0,
5/29/2017,FALSE,TRUE,0,Memorial Day
5/30/2017,FALSE,FALSE,8,
5/31/2017,FALSE,FALSE,8,
6/1/2017,FALSE,FALSE,8,
6/2/2017,FALSE,FALSE,8,
6/3/2017,TRUE,FALSE,0,
6/4/2017,TRUE,FALSE,0,
6/5/2017,FALSE,FALSE,8,
6/6/2017,FALSE,FALSE,8,
6/7/2017,FALSE,FALSE,8,
6/8/2017,FALSE,FALSE,8,
6/9/2017,FALSE,FALSE,8,
6/10/2017,TRUE,FALSE,0,
6/11/2017,TRUE,FALSE,0,
6/12/2017,FALSE,FALSE,8,
6/13/2017,FALSE,FALSE,8,
6/14/2017,FALSE,FALSE,8,
6/15/2017,FALSE,FALSE,8,
6/16/2017,FALSE,FALSE,8,
6/17/2017,TRUE,FALSE,0,
6/18/2017,TRUE,FALSE,0,
6/19/2017,FALSE,FALSE,8,
6/20/2017,FALSE,FALSE,8,
6/21/2017,FALSE,FALSE,8,
6/22/2017,FALSE,FALSE,8,
6/23/2017,FALSE,FALSE,8,
6/24/2017,TRUE,FALSE,0,
6/25/2017,TRUE,FALSE,0,
6/26/2017,FALSE,FALSE,8,
6/27/2017,FALSE,FALSE,8,
6/28/2017,FALSE,FALSE,8,
6/29/2017,FALSE,FALSE,8,
6/30/2017,FALSE,FALSE,8,
7/1/2017,TRUE,FALSE,0,
7/2/2017,TRUE,FALSE,0,
7/3/2017,FALSE,FALSE,8,
7/4/2017,FALSE,TRUE,0,Independence Day
7/5/2017,FALSE,FALSE,8,
7/6/2017,FALSE,FALSE,8,
7/7/2017,FALSE,FALSE,8,
7/8/2017,TRUE,FALSE,0,
7/9/2017,TRUE,FALSE,0,
7/10/2017,FALSE,FALSE,8,
7/11/2017,FALSE,FALSE,8,
7/12/2017,FALSE,FALSE,8,
7/13/2017,FALSE,FALSE,8,
7/14/2017,FALSE,FALSE,8,
7/15/2017,TRUE,FALSE,0,
7/16/2017,TRUE,FALSE,0,
7/17/2017,FALSE,FALSE,8,
7/18/2017,FALSE,FALSE,8,
7/19/2017,FALSE,FALSE,8,
7/20/2017,FALSE,FALSE,8,
7/21/2017,FALSE,FALSE,8,
7/22/2017,TRUE,FALSE,0,
7/23/2017,TRUE,FALSE,0,
7/24/2017,FALSE,FALSE,8,
7/25/2017,FALSE,FALSE,8,
7/26/2017,FALSE,FALSE,8,
7/27/2017,FALSE,FALSE,8,
7/28/2017,FALSE,FALSE,8,
7/29/2017,TRUE,FALSE,0,
7/30/2017,TRUE,FALSE,0,
7/31/2017,FALSE,FALSE,8,
8/1/2017,FALSE,FALSE,8,
8/2/2017,FALSE,FALSE,8,
8/3/2017,FALSE,FALSE,8,
8/4/2017,FALSE,FALSE,8,
8/5/2017,TRUE,FALSE,0,
8/6/2017,TRUE,FALSE,0,
8/7/2017,FALSE,FALSE,8,
8/8/2017,FALSE,FALSE,8,
8/9/2017,FALSE,FALSE,8,
8/10/2017,FALSE,FALSE,8,
8/11/2017,FALSE,FALSE,8,
8/12/2017,TRUE,FALSE,0,
8/13/2017,TRUE,FALSE,0,
8/14/2017,FALSE,FALSE,8,
8/15/2017,FALSE,FALSE,8,
8/16/2017,FALSE,FALSE,8,
8/17/2017,FALSE,FALSE,8,
8/18/2017,FALSE,FALSE,8,
8/19/2017,TRUE,FALSE,0,
8/20/2017,TRUE,FALSE,0,
8/21/2017,FALSE,FALSE,8,
8/22/2017,FALSE,FALSE,8,
8/23/2017,FALSE,FALSE,8,
8/24/2017,FALSE,FALSE,8,
8/25/2017,FALSE,FALSE,8,
8/26/2017,TRUE,FALSE,0,
8/27/2017,TRUE,FALSE,0,
8/28/2017,FALSE,FALSE,8,
8/29/2017,FALSE,FALSE,8,
8/30/2017,FALSE,FALSE,8,
8/31/2017,FALSE,FALSE,8,
9/1/2017,FALSE,FALSE,8,
9/2/2017,TRUE,FALSE,0,
9/3/2017,TRUE,FALSE,0,
9/4/2017,FALSE,TRUE,0,Labor Day
9/5/2017,FALSE,FALSE,8,
9/6/2017,FALSE,FALSE,8,
9/7/2017,FALSE,FALSE,8,
9/8/2017,FALSE,FALSE,8,
9/9/2017,TRUE,FALSE,0,
9/10/2017,TRUE,FALSE,0,
9/11/2017,FALSE,FALSE,8,
9/12/2017,FALSE,FALSE,8,
9/13/2017,FALSE,FALSE,8,
9/14/2017,FALSE,FALSE,8,
9/15/2017,FALSE,FALSE,8,
9/16/2017,TRUE,FALSE,0,
9/17/2017,TRUE,FALSE,0,
9/18/2017,FALSE,FALSE,8,
9/19/2017,FALSE,FALSE,8,
9/20/2017,FALSE,FALSE,8,
9/21/2017,FALSE,FALSE,8,
9/22/2017,FALSE,FALSE,8,
9/23/2017,TRUE,FALSE,0,
9/24/2017,TRUE,FALSE,0,
9/25/2017,FALSE,FALSE,8,
9/26/2017,FALSE,FALSE,8,
9/27/2017,FALSE,FALSE,8,
9/28/2017,FALSE,FALSE,8,
9/29/2017,FALSE,FALSE,8,
9/30/2017,TRUE,FALSE,0,
10/1/2017,TRUE,FALSE,0,
10/2/2017,FALSE,FALSE,8,
10/3/2017,FALSE,FALSE,8,
10/4/2017,FALSE,FALSE,8,
10/5/2017,FALSE,FALSE,8,
10/6/2017,FALSE,FALSE,8,
10/7/2017,TRUE,FALSE,0,
10/8/2017,TRUE,FALSE,0,
10/9/2017,FALSE,TRUE,0,Columbus Day
10/10/2017,FALSE,FALSE,8,
10/11/2017,FALSE,FALSE,8,
10/12/2017,FALSE,FALSE,8,
10/13/2017,FALSE,FALSE,8,
10/14/2017,TRUE,FALSE,0,
10/15/2017,TRUE,FALSE,0,
10/16/2017,FALSE,FALSE,8,
10/17/2017,FALSE,FALSE,8,
10/18/2017,FALSE,FALSE,8,
10/19/2017,FALSE,FALSE,8,
10/20/2017,FALSE,FALSE,8,
10/21/2017,TRUE,FALSE,0,
10/22/2017,TRUE,FALSE,0,
10/23/2017,FALSE,FALSE,8,
10/24/2017,FALSE,FALSE,8,
10/25/2017,FALSE,FALSE,8,
10/26/2017,FALSE,FALSE,8,
10/27/2017,FALSE,FALSE,8,
10/28/2017,TRUE,FALSE,0,
10/29/2017,TRUE,FALSE,0,
10/30/2017,FALSE,FALSE,8,
10/31/2017,FALSE,FALSE,8,
11/1/2017,FALSE,FALSE,8,
11/2/2017,FALSE,FALSE,8,
11/3/2017,FALSE,FALSE,8,
11/4/2017,TRUE,FALSE,0,
11/5/2017,TRUE,FALSE,0,
11/6/2017,FALSE,FALSE,8,
11/7/2017,FALSE,FALSE,8,
11/8/2017,FALSE,FALSE,8,
11/9/2017,FALSE,FALSE,8,
11/10/2017,FALSE,TRUE,0,Veterans Day (observed)
11/11/2017,TRUE,TRUE,0,Veterans Day
11/12/2017,TRUE,FALSE,0,
11/13/2017,FALSE,FALSE,8,
11/14/2017,FALSE,FALSE,8,
11/15/2017,FALSE,FALSE,8,
11/16/2017,FALSE,FALSE,8,
11/17/2017,FALSE,FALSE,8,
11/18/2017,TRUE,FALSE,0,
11/19/2017,TRUE,FALSE,0,
11/20/2017,FALSE,FALSE,8,
11/21/2017,FALSE,FALSE,8,
11/22/2017,FALSE,FALSE,8,
11/23/2017,FALSE,TRUE,0,Thanksgiving Day
11/24/2017,FALSE,FALSE,0,Day after Thanksgiving
11/25/2017,TRUE,FALSE,0,
11/26/2017,TRUE,FALSE,0,
11/27/2017,FALSE,FALSE,8,
11/28/2017,FALSE,FALSE,8,
11/29/2017,FALSE,FALSE,8,
11/30/2017,FALSE,FALSE,8,
12/1/2017,FALSE,FALSE,8,
12/2/2017,TRUE,FALSE,0,
12/3/2017,TRUE,FALSE,0,
12/4/2017,FALSE,FALSE,8,
12/5/2017,FALSE,FALSE,8,
12/6/2017,FALSE,FALSE,8,
12/7/2017,FALSE,FALSE,8,
12/8/2017,FALSE,FALSE,8,
12/9/2017,TRUE,FALSE,0,
12/10/2017,TRUE,FALSE,0,
12/11/2017,FALSE,FALSE,8,
12/12/2017,FALSE,FALSE,8,
12/13/2017,FALSE,FALSE,8,
12/14/2017,FALSE,FALSE,8,
12/15/2017,FALSE,FALSE,8,
12/16/2017,TRUE,FALSE,0,
12/17/2017,TRUE,FALSE,0,
